station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Welcome Heritage Ayatana Ooty,Zeon Charging,"Athigaratty, Ooty",Ooty,Muttinadu,Tamil Nadu,643003.0,11.33652,76.71073,1,Type 2 (Tethered Connector),22.0,Operational,19.5/kWh,https://www.evchargestation.in/ev-station/welcome-heritage-ayatana-ooty-muttinadu-tamil-nadu,verified (site page),Urban/City
IOCL - Sri Balaji,IOCL,"No 118/8B2, Thirukuvalai, Melapitagai Salai, Melavazhakarai, Nagapattinam",Nagapattinam,Nagapattinam,Tamil Nadu,,10.7672,79.8449,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Nagapattinam,approximate (town/road-level),ECR Nagapattinam
Adyar Ananda Bhavan Thennilai,Unknown Operator,"SF.No.144, NH - 67, Opp Toll Gate",Thennilai,Nagapattinam,Tamil Nadu,639206.0,10.95696,77.85174,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/adyar-ananda-bhavan-thennilai-tamil-nadu,verified (site page),Urban/City
Velankanni - Hotel Golden Sand,Zeon Charging,"MRMW+2X Velankanni, Church Main Rd, 611111",Velankanni,Nagapattinam,Tamil Nadu,611111.0,10.6825625,79.8474375,2,CCS2 (DC),24-30 kW,Operational,,https://zeoncharging.com/ev-charging-velankanni-hotel-golden-sand-mrmw-2x-velankanni-tamil-nadu-india-611111,verified (site page),ECR Nagapattinam-Velankanni
Aras Kia Nagarai,Tata Power,"No 63/6A1B, TV Nallur",Nagari,Nagari,Tamil Nadu,625221.0,10.0124,78.01737,1,CCS (Type 2),75.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/aras-kia-nagarai-nagari-tamil-nadu,verified (site page),Urban/City
Kolli Hills - Silverline Retreat Hotel,Zeon Charging,"Sandel Rock, Vazhavandhanadu, Ariyurnadu, 637411",Kolli Hills,Namakkal,Tamil Nadu,637411.0,11.2858125,78.3593125,2,Type 2 (AC),7 kW,Operational,,https://zeoncharging.com/ev-charging-kolli-hills-silverline-retreat-hotel-79p5-8p-ariyurnadu-tamil-nadu-india-637411,verified (site page),Kolli Hills (Namakkal district hill route)
Coastal Grand Hotel,Tata Power,"1/134, Ayyampalayam, Nallipalayam",Namakkal,Namakkal,Tamil Nadu,637003.0,11.23999,78.14177,1,CCS (Type 2),30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/coastal-grand-hotel-namakkal-tamil-nadu,verified (site page),Urban/City
Jio-BP Namakkal,JIO BP Pulse (India),"Survey No 88/2B2, NH - 44, Pappaniackanpatti",Namakkal,Namakkal,Tamil Nadu,637003.0,11.27967,78.16411,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/jio-bp-namakkal-namakkal-tamil-nadu,verified (site page),Urban/City
Namakkal - Jaya Palace,Zeon Charging,"Pappinayakkanpatti, 637003",Namakkal,Namakkal,Tamil Nadu,637003.0,11.2774875,78.1638906,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-namakkal-jaya-palace-75g7-xhr-pappinayakkanpatti-tamil-nadu-india-637003,verified (site page),Namakkal town
Sri Nathi Restaurant Paramathi,Unknown Operator,"Bus Stop, NH - 44, Karur - Namakkal Highway",Paramathi,Namakkal,Tamil Nadu,637207.0,11.17039,78.03892,1,CCS (Type 2),25.0,Operational,On request,https://www.evchargestation.in/ev-station/sri-nathi-restaurant-paramathi-tamil-nadu,verified (site page),Urban/City
