station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Guindy - Olympia Cyberspace,Zeon Charging,"Arulayiammanpet, SIDCO Industrial Estate, Guindy, Chennai, 600032",Chennai,Chennai,Tamil Nadu,600032.0,13.0167625,80.2151406,2,Type 2 (AC),7 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-olympia-cyberspace-2688-p32-chennai-tamil-nadu-india-600032,verified (site page),Chennai (in-city)
Guindy - Olympia Tech Park,Zeon Charging,"SIDCO Industrial Estate, Chennai, 600032",Chennai,Chennai,Tamil Nadu,600032.0,13.014983546775047,80.20341691534425,9,"16A (AC), Type 2 (AC)",3.3-7.4 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-olympia-tech-park-sidco-industrial-estate-600032,verified (site page),Chennai (in-city)
Koyambedu - SAF Games Village Apartment,Zeon Charging,"Games Village Tower, Koyambedu, Chennai, 600107",Chennai,Chennai,Tamil Nadu,600107.0,13.067062,80.208565,2,"16A (AC), Type 2 (AC)",3.3 kW,Operational,,https://zeoncharging.com/ev-charging-koyambadu-saf-games-village-apartment-3685-rc-chennai-tamil-nadu-india-600107,verified (site page),Chennai (in-city)
Maduravoyal - Omeha Paradise,Zeon Charging,"Service Road, Maduravoyal, Chennai, 600095",Chennai,Chennai,Tamil Nadu,600095.0,13.068525330370344,80.15990785411296,4,CCS2 (DC),60 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-maduravoyal-chennai-omeha-paradise-service-road-600095,verified (site page),Chennai (in-city)
Mugalivakkam - Zeon X Raptee HV HQ,Zeon Charging,"2/850, Gowri Nagar, Lalithamba Nagar, Mugalivakkam, Chennai, 600125",Chennai,Chennai,Tamil Nadu,600125.0,13.0179625,80.1740781,1,CCS2 (DC),24 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-mugalivakkam-zeon-x-raptee-hv-hq-259f-5jp-chennai-tamil-nadu-india-600125,verified (site page),Chennai (in-city)
Nungambakkam - Prestige Palladium Bayan,Zeon Charging,"84/139, Greams Ln, Thousand Lights West, Chennai, 600006",Chennai,Chennai,Tamil Nadu,600006.0,13.058945,80.253695,2,"16A (AC), Type 2 (AC)",3.3-7 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-nungambakkam-prestige-palladium-bayan-84-139-greams-ln-thousand-lights-west-thousand-lights-chennai-tamil-na,verified (site page),Chennai (in-city)
Poonamallee Bypass - Sri Sugam Travels,Zeon Charging,"Poonamallee Bypass Rd, opp Johnson Lift, Munikrishna Nagar, Chennai, 600056",Chennai,Chennai,Tamil Nadu,600056.0,13.0567375,80.1077344,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-poonamallee-bypass-chennai-sri-sugam-travels-3445-m3x-chennai-tamil-nadu-india-600056,verified (site page),Chennai (in-city)
Porur - RMZ One Paramount,Zeon Charging,"111-168, Porur, Chennai, 600116",Chennai,Chennai,Tamil Nadu,600116.0,13.031594392297054,80.1682936297536,3,"Type 2 (AC), CCS2 (DC)",3.3kW AC / 50kW DC,Operational,,https://zeoncharging.com/ev-charging-chennai-porur-rmz-one-paramount-111-168-600116,verified (site page),Chennai (in-city)
T Nagar - Grand Chennai by GRT Hotels,Zeon Charging,"120, Sir Thyagaraya Rd, Drivers Colony, T Nagar, Chennai, 600017",Chennai,Chennai,Tamil Nadu,600017.0,13.0403125,80.2450625,1,Type 2 (AC),22 kW,Operational,,https://zeoncharging.com/ev-charging-t-nagar-grand-chennai-by-grt-hotels-26rw-42-chennai-tamil-nadu-india-600017,verified (site page),Chennai (in-city)
T Nagar - Mango Hill Central,Zeon Charging,"T Nagar, Chennai, 600017",Chennai,Chennai,Tamil Nadu,600017.0,13.0418,80.2341,1,,,Operational,,https://zeoncharging.com/ev-charging-t-nagar-chennai-mango-hill-central-362r-p4v-chennai-tamil-nadu-india-600017,approximate (town-level),Chennai (in-city)
Thiruvanmiyur - Holiday Inn Chennai OMR,Zeon Charging,"Mahabalipuram Rd, PTK Nagar, Thiruvanmiyur, Chennai, 600096",Chennai,Chennai,Tamil Nadu,600096.0,12.9799533,80.2529337,1,CCS2 (DC),24 kW,Operational,,https://zeoncharging.com/ev-charging-thiruvanmiyur-holidays-inn-holiday-inn-chennai-omr-it-expressway-an-ihg-hotel-mahabalipuram-rd-ptk-nagar-thiruvanmiy,verified (site page),Chennai OMR (in-city)
Thoraipakkam - Prestige Zackria Metropolitan,Zeon Charging,"63, PVS Nagar, Subbarayan Nagar, Thoraipakkam, Chennai, 600097",Chennai,Chennai,Tamil Nadu,600097.0,12.946907,80.242508,2,"16A (AC), Type 2 (AC)",3.3-7 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-toraipakkam-prestige-zackria-metropolitan-63-pvs-nagar-subbarayan-nagar-thoraipakkam-chennai-tamil-nadu-6000,verified (site page),Chennai OMR (in-city)
Velachery - Grand Square Mall,Zeon Charging,"137, Major Mukund Varadharajan Rd, V.O.C Nagar, Velachery, Chennai, 600042",Chennai,Chennai,Tamil Nadu,600042.0,12.9719875,80.2203281,2,CCS2 (DC),180 kW,Operational,,https://zeoncharging.com/ev-charging-chennai-grand-square-mall-2137-velachery-tambaram-main-rd-v-o-c-nagar-doctor-seetaram-nagar-600042,verified (site page),Chennai (in-city)
IITM Research Park,Relux Electric (India),IITM Research Park,Chennai,Chennai City Corporation Limits,Tamil Nadu,600113.0,12.9908,80.2424,3,"CEE 3 Pin, CCS (Type 2)",37.0,Operational,Rs.18/-,https://www.evchargestation.in/ev-station/iitm-research-park-chennai-city-corporation-limits-tamil-nadu,verified (site page),Urban/City
Adyar Ananda Bhavan Chinnar,Unknown Operator,NH - 44,Chinnar,Chinnar,Tamil Nadu,635117.0,12.63869,78.06529,1,CCS (Type 2),120.0,Operational,On request,https://www.evchargestation.in/ev-station/adyar-ananda-bhavan-chinnar-tamil-nadu,verified (site page),Urban/City
3 Star Auto Care,Unknown Operator,34-1 Ground Floor LML Colony Amman Kulam Road P.N.Palayam,Coimbatore,Coimbatore,Tamil Nadu,641037.0,11.01434,76.98979,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/3-star-auto-care-coimbatore-tamil-nadu,verified (site page),Urban/City
Ather-Chai Kings Charging Station,Ather Grid,"No. 546 and 567, NSR Rd, Saibaba Colony, Coimbatore",Coimbatore,Coimbatore,Tamil Nadu,,11.0186,76.9433,1,AC Type 1,,Operational,,https://www.meraev.com/charging-stations-in/coimbatore,approximate (town/road-level),Coimbatore city
Ather-Cock Ra co Restaurant,Ather Grid,"Siva Nagar, Koundampalayam, Coimbatore",Coimbatore,Coimbatore,Tamil Nadu,,11.0602,76.9422,1,AC Type 1,,Operational,,https://www.meraev.com/charging-stations-in/coimbatore,approximate (town/road-level),Coimbatore city
Coimbatore - Brookefields Mall,Zeon Charging,"Parking B1, Column 14, Coimbatore, 641001",Coimbatore,Coimbatore,Tamil Nadu,641001.0,11.0090625,76.9594375,8,"CCS2 (DC), Type 2 (AC)",7-120 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-brookefields-mall-2x55-jq-coimbatore-tamil-nadu-india-641001,verified (site page),Coimbatore (in-city)
Coimbatore - Dvara Siruvani,Zeon Charging,"Perumal Kovil Pathy, Karunya Post, 641114",Coimbatore,Coimbatore,Tamil Nadu,641114.0,10.92809896264848,76.75494175402952,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-dvara-siruvani-karunya-641114,verified (site page),Coimbatore (in-city)
Coimbatore - Isha Yoga Centre,Zeon Charging,"Adi Yogi Isha Rd, Muttathuvayal, 641109",Coimbatore,Coimbatore,Tamil Nadu,641109.0,10.9678375,76.7397344,3,Type 2 (AC),22 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-isha-yoga-centre-xp9q-4vq-muttathuvayal-tamil-nadu-india-641109,verified (site page),Coimbatore (in-city)
Coimbatore - MK Residency,Zeon Charging,"145 Gokhale Street, Ram Nagar, Coimbatore, 641009",Coimbatore,Coimbatore,Tamil Nadu,641009.0,11.014857296779308,76.96395535585438,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-mk-residency-145-gokhale-street-641009,verified (site page),Coimbatore (in-city)
Coimbatore - Mango Hills Resort,Zeon Charging,"6/3A, Pooluvapatti, 641101",Coimbatore,Coimbatore,Tamil Nadu,641101.0,10.960626165927389,76.80948822027244,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-mango-hills-resort-6-3a-641101,verified (site page),Coimbatore (in-city)
Coimbatore - Peelamedu Fun Republic Mall,Zeon Charging,"Avinashi Road, Periyar Nagar, Coimbatore, 641004",Coimbatore,Coimbatore,Tamil Nadu,641004.0,11.024567,77.010737,2,CCS2 (DC),180 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-peelamedu-fun-republic-mall-avinashi-road-641004,verified (site page),Coimbatore (in-city)
Coimbatore - Radisson Blu Hotel,Zeon Charging,"164/165, Avinashi Rd, Coimbatore, 641004",Coimbatore,Coimbatore,Tamil Nadu,641004.0,11.0219125,76.9916406,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-radisson-blu-hotel-2xcr-qm6-coimbatore-tamil-nadu-india-641004,verified (site page),Coimbatore (in-city)
Coimbatore - Royal Care Hospital,Zeon Charging,"549 Neelambur, Coimbatore, 641062",Coimbatore,Coimbatore,Tamil Nadu,641062.0,11.0613875,77.0906094,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-royal-care-hospital-336r-h65-neelambur-tamil-nadu-india-641062,verified (site page),Coimbatore (in-city)
Coimbatore - Saravanampatti Local Chai Club,Zeon Charging,"Ramani's Sri Mayuri Layout, Thudiyalur-Saravanampatti Rd, 641049",Coimbatore,Coimbatore,Tamil Nadu,641049.0,11.083535471689942,76.97888807423972,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-saravanampatti-local-chai-club-ramani-s-sri-mayuri-layout-641049,verified (site page),Coimbatore (in-city)
Coimbatore - Sunny Side Apartment,Zeon Charging,"Coimbatore, 641004",Coimbatore,Coimbatore,Tamil Nadu,641004.0,11.0167625,77.0138594,2,16A (AC),3.3 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-sunny-side-apartment-2287-pg5-coimbatore-tamil-nadu-india-641004,verified (site page),Coimbatore (in-city)
Coimbatore - The Lakshmi Mills,Zeon Charging,"686, Avinashi Rd, Pappanaickenpalayam, Coimbatore, 641037",Coimbatore,Coimbatore,Tamil Nadu,641037.0,11.014082507375896,76.98607784050263,2,Type 2 (AC),7 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-the-lakshmi-mills-686-avinashi-rd-641037,verified (site page),Coimbatore (in-city)
Coimbatore - Town Hall Metro Park Inn,Zeon Charging,"1000 Raja St, Town Hall, Coimbatore, 641001",Coimbatore,Coimbatore,Tamil Nadu,641001.0,10.9942875,76.9634531,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-town-hall-metro-park-inn-xxv7-p98-coimbatore-tamil-nadu-india-641001,verified (site page),Coimbatore (in-city)
Coimbatore - ZIBE by GRT Hotel,Zeon Charging,"427, 2B, Avinashi Rd, Peelamedu, Coimbatore, 641004",Coimbatore,Coimbatore,Tamil Nadu,641004.0,11.0228125,76.9972031,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging-coimbatore-zibe-by-grt-hotel-2xfw-4vg-coimbatore-tamil-nadu-india-641004,verified (site page),Coimbatore (in-city)
Corporation Parking Lot,Unknown Operator,"Cross Cut Road, Ram Nagar, Gandhipuram",Coimbatore,Coimbatore,Tamil Nadu,641009.0,11.01695,76.96566,1,CCS (Type 2),50.0,Operational,On request,https://www.evchargestation.in/ev-station/corporation-parking-lot-coimbatore-tamil-nadu,verified (site page),Urban/City
Haribhavanam KMCH,Relux Electric (India),KMCH Avinashi Rd TNHB Colony Indira Nagar,Coimbatore,Coimbatore,Tamil Nadu,641014.0,11.040221081024027,77.04083279280997,2,CCS (Type 2),30.0,Operational,Rs.24/-,https://www.evchargestation.in/ev-station/haribhavanam-kmch-coimbatore-tamil-nadu-301550,verified (site page),Urban/City
Haribhavanam KMCH (2),Relux Electric (India),KMCH Avinashi Rd TNHB Colony Indira Nagar,Coimbatore,Coimbatore,Tamil Nadu,641014.0,11.04036238,77.04093889,1,CCS (Type 2),30.0,Operational,Rs.24/-,https://www.evchargestation.in/ev-station/haribhavanam-kmch-coimbatore-tamil-nadu-301398,verified (site page),Urban/City
Hydra Charging,Unknown Operator,"Coimbatore-Mettupalayam Road, GN Mills, Coimbatore, 641001",Coimbatore,Coimbatore,Tamil Nadu,641001.0,11.0326,76.9349,1,CCS (Type 2),,Operational,,https://www.meraev.com/charging-stations-in/coimbatore,approximate (town/road-level),NH181 Coimbatore-Mettupalayam
Ibis Coimbatore City Centre,Chargezone (India),"Lakshmi Mills Junction, Puliakulam Road",Coimbatore,Coimbatore,Tamil Nadu,641037.0,11.01223,76.98654,2,CCS (Type 2),60.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/ibis-coimbatore-city-centre-coimbatore-tamil-nadu,verified (site page),Urban/City
Kuniyamuthur - Krishna and Company,Zeon Charging,"777 Palakkad-Coimbatore Rd, Edayarpalayam Pirivu, Coimbatore, 641008",Coimbatore,Coimbatore,Tamil Nadu,641008.0,10.951769268122328,76.95379388139459,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-kuniyamuthur-coimbatore-krishna-and-company-777-palakkad-coimbatore-road-641008,verified (site page),Coimbatore (in-city)
Mak Controls Test,Zeon Charging,"NH544, Coimbatore, 641021",Coimbatore,Coimbatore,Tamil Nadu,641021.0,10.9164587,76.9842156,2,CCS2 (DC),160 kW,Operational,,https://zeoncharging.com/ev-charging-mak-controls-test-coimbatore-national-highway-544-641021,verified (site page),NH544 Coimbatore-Kochi belt
PPS MG Motors,Tata Power,"138, Avinashi Road, Chinniyampalayam",Coimbatore,Coimbatore,Tamil Nadu,641062.0,11.05013,77.05773,1,CCS (Type 2),25.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/pps-mg-motors-coimbatore-tamil-nadu,verified (site page),Urban/City
PSV EV Point,Unknown Operator,No 88/7 ARR Complex Thudiyalur Road Saravanampattti,Coimbatore,Coimbatore,Tamil Nadu,641035.0,11.08231,76.98681,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/psv-ev-point-coimbatore-tamil-nadu,verified (site page),Urban/City
Sundaram Motors Coimbatore,Chargezone (India),"1/166, Pollachi Main Road, Eachanari",Coimbatore,Coimbatore,Tamil Nadu,641021.0,10.91863,76.98461,2,CCS (Type 2),180.0,Operational,On request,https://www.evchargestation.in/ev-station/sundaram-motors-coimbatore-coimbatore-tamil-nadu,verified (site page),Urban/City
Taj Vivanta Coimbatore,Tata Power,"105, Race Course Road, Gopalapuram",Coimbatore,Coimbatore,Tamil Nadu,641018.0,11.0025,76.97363,1,"CCS (Type 2), Type 2 (Tethered)",30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/taj-vivanta-coimbatore-coimbatore-tamil-nadu,verified (site page),Urban/City
Tata Power - Thalappakatti Hotels Neelambur,Tata Power,"No.145/1A-1D, Avinashi Road, Neelambur, Sulur Taluk, Coimbatore",Coimbatore,Coimbatore,Tamil Nadu,,11.0287,77.0965,1,"CCS (Type 2), AC Type 2",,Operational,,https://www.meraev.com/charging-stations-in/coimbatore,approximate (town/road-level),NH544 Avinashi Road
VEEV Brookfields,Zeon Charging,"F-20 G17A 67-71 Dr Krishnasamy Mudaliyar Road, R.S. Puram",Coimbatore,Coimbatore,Tamil Nadu,641001.0,11.00939,76.95905,8,"CCS (Type 2), Type 2 (Tethered)",30.0,Operational,On request,https://www.evchargestation.in/ev-station/veev-brookfields-coimbatore-tamil-nadu,verified (site page),Urban/City
Welcomhotel By ITC Hotels Race Course,Statiq (IN),"1266/14, W Club Road, Race Course, Gopalapuram",Coimbatore,Coimbatore,Tamil Nadu,641018.0,10.99713,76.97389,1,"CCS (Type 2), Type 2 (Tethered)",60.0,Operational,14.99/kWh,https://www.evchargestation.in/ev-station/welcomhotel-by-itc-hotels-race-course-coimbatore-coimbatore-tamil-nadu,verified (site page),Urban/City
Zibe Coimbatore by GRT Hotels,Zeon Charging,"427 2B Avinashi Road, Peelamedu",Coimbatore,Coimbatore,Tamil Nadu,641004.0,11.02287,76.99726,1,Type 2 (Tethered Connector),7.4,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/zibe-coimbatore-by-grt-hotels-coimbatore-tamil-nadu,verified (site page),Urban/City
Zone by The Park Hotel,Tata Power,"33/3, Avinashi Road, Lakshmi Mills",Coimbatore,Coimbatore,Tamil Nadu,641018.0,11.01157,76.98444,1,CCS (Type 2),30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/zone-by-the-park-hotel-coimbatore-tamil-nadu,verified (site page),Urban/City
SteamA Station,Zeon Charging,"187-B Main Road, near Car Stand, Saravanampatti, Karamadai, Coimbatore, 641035",Karamadai,Coimbatore,Tamil Nadu,641035.0,11.2833,76.95,1,,,Operational,,https://zeoncharging.com/ev-charging-steama-station-187-b-main-road-near-car-stand-kalavai-thottam-saravanampatti-karamadai-coimbatore-tamil-nadu-641035-,approximate (town-level),NH181 Coimbatore-Mettupalayam (Karamadai)
Karumathampatti - Hotel Saravana Bhavan,Zeon Charging,"NH 47, Nall Road, Saradambal Nagar, Karumathampatti, 641659",Karumathampatti,Coimbatore,Tamil Nadu,641659.0,11.1056875,77.1733906,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-karumathampatti-hotel-saravana-bhavan-454f-79c-karumathampatti-tamil-nadu-india-641659,verified (site page),NH47 Coimbatore-Salem
Pollachi (Udumalai-Palani Highway) - MDS Bakes,Zeon Charging,"J4GC+Q3C Kolarpatti, Tamil Nadu, 642107",Kolarpatti,Coimbatore,Tamil Nadu,642107.0,10.6269375,77.1201406,3,"CCS2 (DC), 16A (AC)",120kW DC / 3.3kW AC,Operational,,https://zeoncharging.com/ev-charging-pollachi-udumalai-palani-highway-mds-bakes-j4gc-q3c-kolarpatti-tamil-nadu-india-642107,verified (site page),Udumalpet-Palani Highway
Mathampalayam - Kovai Bakes,Zeon Charging,"Mettupalayam Rd, Mathampalayam, Bilichi, 641019",Mathampalayam,Coimbatore,Tamil Nadu,641019.0,11.1940125,76.9608906,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-mathampalayam-kovai-bakes-5xv6-j92-bilichi-tamil-nadu-india-641019,verified (site page),NH181 Coimbatore-Mettupalayam
Meenkarai - Iyappa Weigh Bridge,Zeon Charging,"Akilandapuram, 642001",Meenkarai,Coimbatore,Tamil Nadu,642001.0,10.6521875,76.9928281,1,16A AC,3.3 kW,Operational,,https://zeoncharging.com/ev-charging-meenkarai-iyappa-weigh-bridge-mx2v-v4g-akilandapuram-tamil-nadu-india-642001,verified (site page),near Pollachi
Ayyappaa Weigh Bridge,Zeon Charging,"M243+9GQ Pollachi, Tamil Nadu, 642001",Pollachi,Coimbatore,Tamil Nadu,642001.0,10.6559625,77.0038594,3,"CCS2 (DC), 16A (AC)",120kW DC / 3.3kW AC,Operational,,https://zeoncharging.com/ev-charging-ayyappaa-weigh-bridge-pollachi-m243-9gq-pollachi-tamil-nadu-india-pollachi-tamil-nadu-india-642001-642001,verified (site page),NH948/Pollachi-Coimbatore
Pollachi - Amutha Surabhi,Zeon Charging,"M25W+6FW Pollachi, Tamil Nadu, 642001",Pollachi,Coimbatore,Tamil Nadu,642001.0,10.6581125,77.0462031,4,"CCS2, CHAdeMO (DC)",50-60 kW,Operational,,https://zeoncharging.com/ev-charging-pollachi-amutha-surabhi-m25w-6fw-pollachi-tamil-nadu-india-642001,verified (site page),Pollachi town
Pollachi - Amutha Surabhi Express,Zeon Charging,"P2H9+R8G Santhegoundanpalayam, Pollachi, 642110",Pollachi,Coimbatore,Tamil Nadu,642110.0,10.7295625,77.0183281,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-pollachi-amutha-surabhi-express-p2h9-r8g-santhegoundanpalayam-tamil-nadu-india-642110,verified (site page),Pollachi-Coimbatore road
Pollachi - Arunachalam Mahal,Zeon Charging,"H2F5+2GP Somandurai, Valparai main road, Kariyanchettipalayam, Pollachi, 642123",Pollachi,Coimbatore,Tamil Nadu,642123.0,10.5725875,77.0088281,3,"CCS2 (DC), Type 2 (AC)",60kW DC / 7.4kW AC,Operational,,https://zeoncharging.com/ev-charging-pollachi-arunachalam-mahal-h2f5-2gp-somandurai-tamil-nadu-india-642123,verified (site page),Pollachi-Valparai road (NH948)
Valparai - Ibex Stays & Trails,Zeon Charging,"Iyerpadi, Valparai, 642105",Valparai,Coimbatore,Tamil Nadu,642105.0,10.3273,76.955,1,,,Operational,,https://zeoncharging.com/ev-charging-valparai-ibex-stays-trails-9xvc-x2j-iyerpadi-tamil-nadu-india-642105,approximate (town-level),Pollachi-Valparai-Kochi hill route (NH948)
Walayar - A2B,Zeon Charging,"VV47-52R, Palakkad-Coimbatore Rd, Solakarai, R.F. Mavuthampathi, 641105",Walayar,Coimbatore,Tamil Nadu,641105.0,10.7667,76.75,1,,,Operational,,https://zeoncharging.com/ev-charging-walayar-a2b-vv47-52r-palakkad-coimbatore-rd-solakarai-r-f-mavuthampathi-tamil-nadu-641105-india-641105,approximate (town-level),NH544 Coimbatore-Kerala border
"Walayar - A2B, KFC, Star Biriyani",Zeon Charging,"Palakkad-Coimbatore Road, Walayar, 641105",Walayar,Coimbatore,Tamil Nadu,641105.0,10.7667,76.75,1,,,Operational,,https://zeoncharging.com/ev-charging-walayar-a2b-kfc-star-biriyani,approximate (town-level),NH544 Coimbatore-Kerala border
Gateway Coonoor,Tata Power,Upper Coonoor,Coonoor,Coonoor,Tamil Nadu,643101.0,11.34605,76.80108,1,CCS (Type 2),30.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/gateway-coonoor-coonoo-tamil-nadu,verified (site page),Urban/City
Wellington Gymkhana Club,Zeon Charging,"Old Neelambar 2, Wellington, Coonoor",Wellington,Coonoor,Tamil Nadu,643231.0,11.36142,76.79607,1,Type 2 (Tethered Connector),22.0,Operational,19.5/kWh,https://www.evchargestation.in/ev-station/wellington-gymkhana-club-wellington-tamil-nadu,verified (site page),Urban/City
Ather - Barath Complex,Ather Grid,"Sudharsanam St, Allpettai, Dhakshinamoorthy Nagar, Cuddalore",Cuddalore,Cuddalore,Tamil Nadu,,11.748,79.7714,1,AC Type 1,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore city
Ather - Shobana,Ather Grid,"11a, Nellikuppam Main Rd, Rajambal Nagar, Allpettai, Manjakuppam, Cuddalore",Cuddalore,Cuddalore,Tamil Nadu,,11.748,79.7714,1,AC Type 1,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore city
IOCL - Shivasakthi Singaram (1),IOCL,"Shivasakthi Singaram, Cuddalore",Cuddalore,Cuddalore,Tamil Nadu,,11.75,79.55,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore district
MG Motors (FPL Vehicles),MG Motors,"No. 1, Cuddalore",Cuddalore,Cuddalore,Tamil Nadu,,11.748,79.7714,2,CCS (Type 2),,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore city
Cuddalore - Argunt Aggregates,Zeon Charging,"Jawaharlal Nehru Rd, Neyveli T.S., 607801",Neyveli,Cuddalore,Tamil Nadu,607801.0,11.5989375,79.5047031,1,Type 2 (AC),22 kW,Operational,,https://zeoncharging.com/ev-charging-cuddalore-argunt-aggregates-private-limited-hgx3-hvg-neyveli-t-s-tamil-nadu-india-6077801,verified (site page),Cuddalore-Neyveli
IOCL - K G P Amaravathi,IOCL,"Sy.No.57/1&58/2D, Veeraperumanallur, Panruti, Cuddalore",Panruti,Cuddalore,Tamil Nadu,,11.7742,79.5514,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),ECR/NH532 Cuddalore
NTPC - Panruti,NTPC,"Panruti, Cuddalore",Panruti,Cuddalore,Tamil Nadu,,11.7742,79.5514,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),ECR/NH532 Cuddalore
IOCL - Shivasakthi Singaram (2),IOCL,"Sy No 67/12B, Idaicheruvai, Thittagudi, Akkanur, Cuddalore",Thittagudi,Cuddalore,Tamil Nadu,,11.4833,79.15,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore district
IOCL - Raja Traders,IOCL,"367/6B, Periyanesalur, Veppur, Cuddalore",Veppur,Cuddalore,Tamil Nadu,,11.55,79.35,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Cuddalore,approximate (town/road-level),Cuddalore district
Virudhachalam - Hotel Shree Bhawan,Zeon Charging,"Virudhachalam, 606001",Virudhachalam,Cuddalore,Tamil Nadu,606001.0,11.4954875,79.3231094,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-virudhachalam-hotel-shree-bhawan-virudhachalam-tamil-nadu-india-606001,verified (site page),NH532/Virudhachalam town
Near Thoppur Toll Plaza - Arabian Garden Seafood,Zeon Charging,"Dhombaragampatti, 636807",Thoppur,Dharmapuri,Tamil Nadu,636807.0,12.0100125,78.0829531,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-near-thoppur-toll-plaza-arabian-garden-seafood-restaurant-236m-254-dhombaragampatti-tamil-nadu-india-636807,verified (site page),NH44 Salem-Dharmapuri (Thoppur Ghat)
Adyar Ananda Bhavan Dindigul,Unknown Operator,"NH - 44, Thomaiyar Puram, Adiyanuuthu",Dindigul,Dindigul,Tamil Nadu,624002.0,10.33668,77.95701,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/adyar-ananda-bhavan-dindigul-tamil-nadu,verified (site page),Urban/City
Hotel PVK Grand,Unknown Operator,"80, Thadicombu Road, Ashok Nagar",Dindigul,Dindigul,Tamil Nadu,624001.0,10.3741,77.96772,1,"CCS (Type 2), Type 2 (Tethered)",25.0,Operational,On request,https://www.evchargestation.in/ev-station/hotel-pvk-grand-dindigul-tamil-nadu,verified (site page),Urban/City
IOCL - Parthyusha,IOCL,"Sengunrapuram To Maravapatti, Dindigul",Dindigul,Dindigul,Tamil Nadu,,10.3624,77.9695,2,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Dindigul,approximate (town/road-level),Dindigul outskirts
IOCL - Sri Sai Ram,IOCL,"Sri Sai Ram Enterprises, Appipati, Dindigul",Dindigul,Dindigul,Tamil Nadu,,10.3624,77.9695,1,AC Type 2,,Operational,,https://www.zigwheels.com/electric-charging-station/Dindigul,approximate (town/road-level),Dindigul outskirts
Kaveri Garage Seelapadi,Zeon Charging,"No 478/1A2, Trichy - Dindugal Road, Seelapadi",Dindigul,Dindigul,Tamil Nadu,624005.0,10.38031,77.99536,1,CCS (Type 2),60.0,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/kaveri-garage-seelapadi-dindugal-tamil-nadu,verified (site page),Urban/City
